ts_us,raw_ch0,raw_ch1,filt_ch0,filt_ch1
80696,-116.50,-118.50,-18.4183,-18.7460
1884602,-126.50,-138.50,-68.9991,-71.7913
1888508,-120.50,-143.50,-113.2388,-122.6563
1892414,-128.50,-143.50,-127.4138,-143.7298
1896320,-110.50,-142.50,-124.3749,-144.9475
1900226,-104.50,-140.50,-112.2468,-138.5294
1904132,-111.50,-144.50,-99.2288,-130.9670
1908038,-122.50,-152.50,-95.5064,-127.6612
1911944,-128.50,-181.50,-101.7920,-134.9698
1915850,-126.50,-169.50,-110.0027,-148.7422
1919756,-140.50,-173.50,-114.8501,-154.7615
1923662,-137.50,-164.50,-116.7279,-149.7895
1927568,-137.50,-160.50,-115.2288,-139.7581
1931474,-122.50,-184.50,-110.0783,-135.0374
1935380,-103.50,-177.50,-99.8048,-140.1589
1939286,-96.50,-148.50,-84.7962,-139.5149
1943192,-93.50,-130.50,-70.4584,-122.0725
1947098,-95.50,-121.50,-61.3746,-98.2185
1951004,-85.50,-128.50,-57.1631,-82.6046
1954910,-94.50,-124.50,-56.1895,-78.3856
1958816,-86.50,-124.50,-56.8597,-78.3987
1962722,-84.50,-117.50,-54.2214,-76.4604
1966628,-88.50,-113.50,-48.8625,-71.2137
1970534,-79.50,-114.50,-44.9990,-65.2213
1974440,-70.50,-112.50,-40.9275,-61.3143
1978346,-76.50,-120.50,-36.6078,-60.3451
1982252,-73.50,-122.50,-33.8908,-62.3951
1986158,-73.50,-113.50,-31.0794,-63.2459
1990064,-79.50,-102.50,-29.5488,-57.8504
1993970,-97.50,-127.50,-34.9505,-52.8315
1997876,-93.50,-128.50,-45.1048,-56.7550
2001782,-77.50,-131.50,-47.4456,-63.6416
2005688,-74.50,-143.50,-38.1558,-68.7325
2009594,-66.50,-139.50,-26.5149,-73.1743
2013500,-108.50,-140.50,-26.0414,-74.3918
2017406,-114.50,-150.50,-41.8350,-73.9758
2021312,-123.50,-187.50,-59.9196,-81.3768
2025218,-118.50,-182.50,-68.1336,-96.9989
2029124,-126.50,-176.50,-69.0742,-106.3110
2033030,-133.50,-176.50,-70.2951,-104.4592
2036936,-144.50,-177.50,-75.1361,-99.2844
2040842,-136.50,-165.50,-79.2516,-92.8955
2044748,-148.50,-170.50,-80.1015,-85.2794
2048654,-148.50,-175.50,-81.5109,-81.7968
2052560,-144.50,-168.50,-82.7081,-82.3165
2056466,-129.50,-148.50,-78.0081,-77.5919
2060372,-141.50,-143.50,-69.9085,-64.6268
2064278,-143.50,-141.50,-66.7940,-51.4669
2068184,-141.50,-145.50,-68.0546,-44.9571
2072090,-146.50,-149.50,-69.1981,-45.2269
2075996,-138.50,-143.50,-68.7551,-47.2416
2079902,-143.50,-144.50,-65.9870,-46.2187
2083808,-145.50,-148.50,-63.6674,-43.9144
2087714,-145.50,-136.50,-63.1702,-41.0706
2091620,-139.50,-123.50,-61.9251,-33.7280
2095526,-140.50,-123.50,-58.8998,-23.6672
2099432,-142.50,-112.50,-56.1478,-15.1954
2103338,-141.50,-137.50,-54.4382,-12.0906
2107244,-128.50,-132.50,-50.5823,-16.6169
2111150,-122.50,-158.50,-42.7319,-25.8769
2115056,-143.50,-149.50,-38.2635,-36.1102
2118962,-122.50,-135.50,-39.0358,-38.3548
2122868,-89.50,-122.50,-30.0789,-28.1149
2126774,-111.50,-144.50,-13.5119,-17.6934
2130680,-98.50,-111.50,-5.9057,-12.6362
2134586,-112.50,-106.50,-6.4701,-3.5283
2138492,-124.50,-162.50,-11.9430,-1.9538
2142398,-96.50,-176.50,-15.6899,-22.4964
2146304,-92.50,-162.50,-8.5029,-43.9608
2150210,-104.50,-156.50,0.0568,-46.8461
2154116,-169.50,-175.50,-10.0948,-42.7328
