ts_us,raw_ch0,raw_ch1,filt_ch0,filt_ch1
111274,-25.50,1023.50,-3.5075,168.3772
115180,33.50,378.50,-5.2028,484.5225
119086,-243.50,-1042.50,-35.7727,339.4316
122992,-429.50,-1444.50,-162.9555,-434.6527
126898,-390.50,-288.50,-322.9753,-988.5224
130804,-147.50,879.50,-359.1064,-637.8210
134710,-32.50,511.50,-241.0435,152.8679
138616,-272.50,-928.50,-129.7224,357.8959
142522,-586.50,-1673.50,-195.9858,-287.9988
146428,-587.50,-636.50,-385.8300,-957.7594
150334,-266.50,683.50,-472.9684,-806.5199
154240,-101.50,505.50,-359.3186,-91.7539
158146,-271.50,-911.50,-205.2308,204.9878
162052,-559.50,-1738.50,-204.3005,-294.8178
165958,-556.50,-838.50,-332.6854,-907.9817
169864,-252.50,586.50,-395.0946,-820.0120
173770,-36.50,687.50,-288.4679,-149.7354
177676,-180.50,-651.50,-136.0739,239.4307
181582,-465.50,-1615.50,-115.2630,-110.5340
185488,-515.50,-908.50,-225.1133,-678.0945
189394,-221.50,541.50,-295.4725,-686.0191
193300,14.50,833.50,-214.1512,-123.4970
197206,-111.50,-456.50,-77.7825,268.4227
201112,-400.50,-1543.50,-53.1010,-2.7741
205018,-512.50,-1048.50,-156.2179,-543.1716
208924,-282.50,363.50,-247.8362,-639.4142
212830,-32.50,809.50,-213.2980,-198.0149
216736,-112.50,-346.50,-107.5712,170.4716
220642,-395.50,-1462.50,-75.0469,-9.1508
224548,-474.50,-976.50,-143.9786,-431.2627
228454,-278.50,339.50,-202.3854,-482.5326
232360,-69.50,713.50,-170.5595,-121.6622
236267,-111.50,-442.50,-96.4273,106.7230
240173,-312.50,-1394.50,-67.7262,-116.1685
244079,-388.50,-845.50,-93.9346,-423.3485
247985,-256.50,464.50,-115.6206,-327.6855
251891,-41.50,778.50,-90.4143,64.7891
255797,-102.50,-392.50,-46.7576,214.4198
259703,-273.50,-1344.50,-41.9422,-80.2848
263609,-292.50,-772.50,-58.3278,-376.1785
267515,-176.50,607.50,-41.2449,-213.7066
271421,-47.50,881.50,-2.8601,217.9251
275327,-90.50,-300.50,7.6198,335.2143
279233,-269.50,-1344.50,-25.4935,-20.7270
283139,-320.50,-839.50,-62.9776,-359.3993
287045,-210.50,585.50,-57.2703,-211.1369
290951,-85.50,965.50,-22.6037,232.8085
294857,-144.50,-226.50,-17.3459,367.4676
298763,-299.50,-1348.50,-60.3319,7.9636
302669,-367.50,-917.50,-102.4101,-350.4996
306575,-244.50,511.50,-92.3584,-220.4037
310481,-109.50,1063.50,-45.1054,228.4711
314387,-149.50,-97.50,-24.9620,398.4801
318293,-303.50,-1343.50,-59.7689,59.2920
322199,-368.50,-1085.50,-100.1579,-336.2781
326105,-226.50,366.50,-83.6421,-271.9036
330011,-56.50,1103.50,-15.4227,156.1043
333917,-78.50,86.50,32.5613,381.7227
337823,-171.50,-1218.50,24.7312,123.8861
341729,-286.50,-1201.50,3.4749,-252.3503
345635,-281.50,124.50,-2.6736,-266.4169
349541,-120.50,1040.50,-0.6042,66.6771
353447,-65.50,223.50,4.0801,290.7304
357353,-224.50,-1180.50,-6.6904,100.4878
361259,-338.50,-1316.50,-34.5999,-245.1103
