ts_us,raw_ch0,raw_ch1,filt_ch0,filt_ch1
111274,-412.50,-2047.50,-66.9196,-334.8237
115180,-512.50,-2043.50,-254.4836,-1180.5365
119086,-175.50,653.50,-384.2669,-1447.4732
122992,111.50,2047.50,-274.2348,-309.0247
126898,-47.50,554.50,-66.8098,997.6786
130804,-416.50,-2047.50,-37.8097,806.4946
134710,-537.50,-2047.50,-217.6110,-597.3246
138616,-266.50,218.50,-369.2794,-1362.5909
142522,64.50,2047.50,-302.4718,-542.4656
146428,27.50,908.50,-103.3122,756.0184
150334,-309.50,-2047.50,-15.0993,801.9766
154240,-512.50,-2047.50,-129.8559,-424.6771
158146,-319.50,-169.50,-284.5036,-1232.1519
162052,38.50,2047.50,-274.9377,-615.1357
165958,33.50,1238.50,-119.5654,610.6711
169864,-303.50,-1941.50,-32.7169,808.1153
173770,-512.50,-2047.50,-123.9193,-261.2405
177676,-353.50,-552.50,-260.6250,-1092.6659
181582,-14.50,2047.50,-263.1607,-656.8349
185488,55.50,1643.50,-130.6618,509.3092
189394,-225.50,-1560.50,-30.5952,888.4537
193300,-484.50,-2047.50,-80.3626,8.8190
197206,-367.50,-937.50,-199.0802,-874.4238
201112,-29.50,2047.50,-220.5726,-660.6222
205018,80.50,2035.50,-113.9742,424.8972
208924,-207.50,-1199.50,-23.0241,947.7702
212830,-492.50,-2047.50,-69.3351,223.3243
216736,-417.50,-1302.50,-188.0717,-695.5530
220642,-72.50,2047.50,-221.2816,-652.2338
224548,89.50,2047.50,-125.7184,313.6569
228454,-146.50,-758.50,-23.4833,871.0249
232360,-475.50,-2047.50,-42.7264,307.6627
236266,-460.50,-1589.50,-152.6152,-548.9639
240172,-127.50,1840.50,-206.9949,-631.8146
244078,80.50,2047.50,-137.5059,181.5586
247984,-86.50,-365.50,-34.2059,740.3165
251890,-421.50,-2047.50,-21.5922,329.7482
255796,-463.50,-1791.50,-103.0367,-438.3241
259702,-147.50,1250.50,-159.4812,-646.4287
263608,93.50,2047.50,-109.9411,-48.0170
267514,-48.50,53.50,-19.6018,519.9029
271420,-400.50,-2047.50,-6.5872,318.0773
275326,-512.50,-2005.50,-88.9137,-345.4675
279232,-228.50,728.50,-163.0682,-650.2064
283138,47.50,2047.50,-138.7584,-217.3082
287044,-47.50,384.50,-58.1168,346.1652
290950,-399.50,-2047.50,-33.7174,279.4883
294856,-538.50,-2047.50,-97.1353,-283.9705
298762,-260.50,263.50,-157.6941,-599.5183
302668,97.50,2047.50,-119.2653,-279.9974
306574,38.50,754.50,-15.1398,255.3168
310480,-287.50,-2047.50,35.6584,271.7181
314386,-434.50,-2047.50,-1.1923,-230.7672
318292,-239.50,-49.50,-50.0119,-529.4536
322198,64.50,2047.50,-43.1546,-258.7029
326104,65.50,1134.50,7.6213,250.9331
330010,-248.50,-2047.50,34.0001,295.1433
333916,-440.50,-2047.50,1.9795,-196.1938
337822,-252.50,-393.50,-38.1386,-494.3774
341728,105.50,2047.50,-18.3719,-255.1521
345634,150.50,1578.50,53.1448,265.6072
349540,-164.50,-1645.50,95.2328,420.9446
353446,-418.50,-2047.50,61.2398,14.7231
357352,-260.50,-743.50,4.8446,-335.9893
361258,83.50,2047.50,4.9400,-218.9220
365164,184.50,2030.50,61.8323,285.8128
369070,-81.50,-1212.50,107.7258,545.7201
372976,-368.50,-2047.50,94.0573,209.8412
376882,-289.50,-1105.50,45.2723,-203.4682
380788,43.50,2047.50,25.8012,-194.0552
384694,160.50,2047.50,52.4815,246.2863
388600,-96.50,-792.50,73.8663,495.5261
392506,-410.50,-2047.50,46.4551,227.1162
396412,-393.50,-1450.50,-10.2154,-150.5445
400318,-63.50,2047.50,-39.6398,-168.5981
404224,127.50,2047.50,-15.4957,243.8324
408130,-97.50,-417.50,19.8194,465.3786
412036,-431.50,-2047.50,9.7304,219.0666
415942,-418.50,-1720.50,-32.3360,-131.4048
419848,-111.50,1535.50,-48.1014,-220.3183
423754,112.50,2047.50,-20.1426,68.6121
427660,-65.50,-62.50,13.3186,288.8278
431566,-417.50,-2047.50,6.4372,156.1842
435472,-468.50,-1935.50,-35.1773,-124.3691
439378,-177.50,945.50,-60.1408,-262.5409
443284,98.50,2047.50,-39.2674,-89.9075
447190,-34.50,292.50,-0.2656,131.5158
451096,-400.50,-2047.50,3.4390,98.1720
455002,-520.50,-2047.50,-37.4428,-121.4816
458908,-244.50,462.50,-73.1019,-261.7186
462814,55.50,2047.50,-62.5276,-150.9306
466720,-34.50,656.50,-27.6300,61.9212
470626,-392.50,-2047.50,-21.3545,71.7428
474532,-540.50,-2047.50,-52.5630,-119.1697
478438,-284.50,10.50,-75.9901,-238.0202
482344,48.50,2047.50,-55.9097,-158.5414
486250,25.50,976.50,-11.1392,36.6364
490156,-334.50,-2047.50,7.2661,48.8612
494062,-549.50,-2047.50,-21.3849,-148.3955
497968,-318.50,-342.50,-55.0459,-231.7226
501874,31.50,2047.50,-44.7916,-130.2125
505780,65.50,1402.50,-1.7817,88.4333
509686,-245.50,-1861.50,27.8305,134.0141
513592,-514.50,-2047.50,18.2167,-71.0958
517498,-361.50,-705.50,-13.3591,-180.2194
521404,-15.50,2047.50,-25.8538,-102.9148
525310,66.50,1811.50,-8.5058,140.5415
529216,-218.50,-1441.50,10.8108,256.9207
533122,-512.50,-2047.50,5.6350,83.5622
537028,-397.50,-1052.50,-16.0766,-74.7018
540934,-47.50,2047.50,-21.5863,-58.9231
544840,95.50,2047.50,-0.1556,178.3701
548746,-196.50,-1039.50,19.1294,312.5271
552652,-531.50,-2047.50,3.0476,152.4264
556558,-492.50,-1421.50,-38.7139,-31.0765
560464,-171.50,2047.50,-69.4946,-41.5675
564370,9.50,2047.50,-72.7577,187.9416
568276,-210.50,-617.50,-60.9290,295.4825
572182,-522.50,-2047.50,-54.9364,145.3495
576088,-512.50,-1682.50,-57.4008,-13.8374
579994,-168.50,1621.50,-52.0747,-63.8610
583900,63.50,2047.50,-28.6269,76.7211
587806,-124.50,-202.50,-2.5171,170.1030
591712,-448.50,-2047.50,5.5165,98.2492
595618,-494.50,-1885.50,-0.5317,-8.6559
599524,-169.50,1085.50,-0.8791,-89.0129
603430,93.50,2047.50,16.3570,-37.7467
607336,-60.50,183.50,36.2692,46.1455
611242,-398.50,-2047.50,37.7949,42.2440
615148,-485.50,-2047.50,27.4135,-27.7636
619054,-212.50,659.50,22.0661,-102.5889
622960,92.50,2047.50,30.2143,-78.8637
626866,16.50,541.50,50.1917,-1.2985
630772,-341.50,-2047.50,63.1948,6.6547
