ts_us,raw_ch0,raw_ch1,filt_ch0,filt_ch1
20180351,-170.50,-1448.50,-27.2665,-236.6742
20180351,-170.50,-1448.50,-98.5086,-835.6793
20180351,-170.50,-1448.50,-158.3218,-1338.5331
20180351,-170.50,-1448.50,-175.6007,-1483.6988
20180351,-170.50,-1448.50,-172.2243,-1455.1739
20180351,-170.50,-1448.50,-163.9365,-1385.3545
20180351,-170.50,-1448.50,-155.3630,-1313.1377
20180351,-170.50,-1448.50,-149.2886,-1261.9391
20180351,-170.50,-1448.50,-147.8531,-1249.7501
20180351,-170.50,-1448.50,-149.0580,-1259.7628
20180351,-170.50,-1448.50,-148.0523,-1251.1850
20180351,-170.50,-1448.50,-142.9034,-1207.7706
20180351,-170.50,-1448.50,-136.9689,-1157.7538
20180351,-170.50,-1448.50,-134.4540,-1136.4926
20180351,-170.50,-1448.50,-134.9908,-1140.8928
20180351,-170.50,-1448.50,-134.3134,-1135.0820
20180351,-170.50,-1448.50,-129.9475,-1098.2568
20180351,-170.50,-1448.50,-124.3455,-1051.0407
20180351,-170.50,-1448.50,-121.4993,-1026.9994
20180351,-170.50,-1448.50,-121.6909,-1028.5029
20180351,-170.50,-1448.50,-121.2758,-1024.9035
20180351,-170.50,-1448.50,-117.5769,-993.6921
20180351,-170.50,-1448.50,-112.3250,-949.4254
20180351,-170.50,-1448.50,-109.2327,-923.3196
20180351,-170.50,-1448.50,-109.0893,-922.0120
20180351,-170.50,-1448.50,-108.8527,-919.9192
20180351,-170.50,-1448.50,-105.7561,-893.7777
20180351,-170.50,-1448.50,-100.8928,-852.7837
20180351,-170.50,-1448.50,-97.6407,-825.3395
20180351,-170.50,-1448.50,-97.1801,-821.3698
20180351,-170.50,-1448.50,-97.0483,-820.1634
20180351,-170.50,-1448.50,-94.4855,-798.5170
20180351,-170.50,-1448.50,-90.0340,-760.9906
20180351,-170.50,-1448.50,-86.7005,-732.8667
20180351,-170.50,-1448.50,-85.9495,-726.4605
20180351,-170.50,-1448.50,-85.8622,-725.6338
20180351,-170.50,-1448.50,-83.7651,-707.9081
20180351,-170.50,-1448.50,-79.7352,-673.9318
20180351,-170.50,-1448.50,-76.3893,-645.7092
20180351,-170.50,-1448.50,-75.3812,-637.1456
20180351,-170.50,-1448.50,-75.2908,-636.2991
20180351,-170.50,-1448.50,-73.5930,-621.9359
111272,-122.50,-1059.50,-62.1182,-527.7577
115178,-64.50,-1138.50,-29.4937,-352.2399
119084,-26.50,-1252.50,18.5524,-258.2826
122990,-52.50,-1343.50,55.0238,-307.5634
126896,-121.50,-1373.50,52.3751,-393.6083
130802,-143.50,-1356.50,14.8131,-436.3508
134708,-111.50,-1354.50,-18.2794,-434.8337
138614,-73.50,-1392.50,-17.8624,-427.9459
142520,-89.50,-1424.50,2.5591,-434.6196
146426,-170.50,-1424.50,3.6895,-438.6066
150332,-176.50,-1391.50,-25.0996,-422.4438
154238,-146.50,-1372.50,-49.3354,-393.4006
158144,-97.50,-1394.50,-43.1023,-373.6187
162050,-104.50,-1432.50,-18.5776,-372.6830
165956,-156.50,-1434.50,-6.9182,-375.5794
169862,-200.50,-1404.50,-23.9683,-362.9644
173768,-156.50,-1378.50,-47.7209,-336.5736
177674,-111.50,-1396.50,-46.5965,-315.6325
181580,-109.50,-1432.50,-24.6975,-311.5164
185486,-164.50,-1438.50,-12.6051,-312.8207
189392,-193.50,-1406.50,-24.3406,-300.8442
193298,-175.50,-1383.50,-42.9959,-275.8968
197204,-116.50,-1393.50,-43.9754,-255.7131
201110,-86.50,-1429.50,-21.3548,-250.5802
205016,-133.50,-1439.50,2.7833,-251.1811
208922,-159.50,-1410.50,5.8049,-240.9732
212828,-174.50,-1390.50,-8.4751,-219.3888
216734,-148.50,-1401.50,-25.2758,-203.0017
220640,-120.50,-1429.50,-30.4979,-199.8181
