ts_us,raw_ch0,raw_ch1,filt_ch0,filt_ch1
111274,-115.50,-141.50,-18.2545,-22.5147
115180,-300.50,-244.50,-97.0971,-98.6581
119086,-303.50,-260.50,-214.7328,-193.5746
122992,-56.50,-198.50,-251.4079,-240.1065
126898,71.50,-142.50,-145.6916,-218.3749
130804,-107.50,-145.50,-27.5562,-166.9301
134710,-322.50,-189.50,-52.8141,-137.3578
138616,-335.50,-245.50,-184.3460,-150.4100
142522,-59.50,-197.50,-243.6929,-179.6863
146428,93.50,-126.50,-144.7714,-177.3450
150334,-31.50,-111.50,-10.5074,-138.2397
154240,-273.50,-154.50,-3.6206,-104.0230
158146,-301.50,-212.50,-113.7266,-106.8613
162052,-46.50,-147.50,-178.8646,-126.7686
165958,124.50,-85.50,-102.7878,-118.5285
169864,25.50,-100.50,17.8980,-86.9053
173770,-255.50,-191.50,28.6804,-79.3407
177676,-336.50,-242.50,-84.3525,-112.9572
181582,-146.50,-193.50,-181.3623,-149.6170
185488,61.50,-120.50,-151.7037,-146.6428
189394,6.50,-100.50,-49.9710,-110.1230
193300,-253.50,-165.50,-16.5600,-82.1089
197206,-356.50,-218.50,-93.7420,-89.5022
201112,-191.50,-190.50,-175.6597,-113.3192
205018,21.50,-133.50,-158.6464,-118.7849
208924,17.50,-113.50,-70.5026,-101.1595
212830,-257.50,-175.50,-31.1906,-86.2289
216736,-398.50,-222.50,-98.8793,-94.0643
220642,-233.50,-216.50,-182.5768,-113.7177
224548,18.50,-154.50,-167.7997,-120.8104
228454,33.50,-124.50,-73.4484,-106.7689
232360,-215.50,-204.50,-19.9736,-94.6839
236267,-372.50,-236.50,-67.7217,-105.1579
240173,-250.50,-229.50,-141.9762,-120.9721
244079,12.50,-188.50,-139.1735,-124.2397
247985,84.50,-143.50,-55.8646,-114.1771
251891,-145.50,-176.50,9.1716,-98.0490
255797,-345.50,-224.50,-19.5923,-90.8776
259703,-272.50,-229.50,-95.2682,-95.7685
263609,-35.50,-143.50,-119.8428,-93.8656
267515,79.50,-47.50,-67.5284,-62.6225
271421,-92.50,-82.50,-4.4681,-15.6156
275327,-330.50,-221.50,-8.6778,-5.6606
279233,-316.50,-260.50,-73.3440,-49.7080
283139,-53.50,-180.50,-110.1826,-94.0688
287045,92.50,-104.50,-67.1178,-91.8217
290951,-108.50,-129.50,-8.5747,-61.0642
294857,-333.50,-186.50,-19.4292,-41.7157
298763,-336.50,-218.50,-80.6677,-43.8162
302669,-53.50,-158.50,-104.3491,-50.6882
306575,70.50,-108.50,-57.1669,-46.5809
310481,-79.50,-91.50,-6.0380,-31.4480
314387,-303.50,-159.50,-13.6211,-16.7217
318293,-325.50,-200.50,-58.5974,-15.8830
322199,-79.50,-144.50,-76.3749,-22.3099
326105,112.50,-93.50,-33.9237,-19.5168
330011,10.50,-62.50,27.0461,-5.7662
333917,-229.50,-111.50,42.5467,12.5171
337823,-309.50,-160.50,6.0267,22.2427
341729,-99.50,-106.50,-28.8644,23.0716
345635,112.50,-29.50,-13.7497,32.4212
349541,40.50,-36.50,30.9950,47.9855
353447,-237.50,-132.50,40.4950,45.6464
357353,-340.50,-244.50,-3.4628,10.7129
361259,-164.50,-238.50,-47.9080,-41.4955
365165,74.50,27.50,-42.0059,-43.7997
369071,62.50,-44.50,3.7841,18.3660
372977,-186.50,-123.50,33.7664,52.7423
376883,-329.50,-185.50,15.4023,32.3907
380789,-160.50,-166.50,-16.3421,6.6505
384695,81.50,-96.50,-10.4039,-2.9253
388601,85.50,-78.50,26.8838,-1.5501
392507,-163.50,-138.50,44.9596,-1.8938
396413,-297.50,-184.50,25.0479,-4.9544
400319,-175.50,-188.50,2.0227,-6.0846
404225,75.50,-132.50,9.2635,-9.2039
408131,109.50,-76.50,39.7715,-11.3000
412037,-133.50,-120.50,53.3451,-5.7588
415943,-316.50,-180.50,27.9779,1.1921
419849,-226.50,-198.50,-6.8898,1.7070
423755,12.50,-138.50,-15.0118,-4.3596
427661,101.50,-88.50,6.0211,-9.1836
431567,-99.50,-120.50,27.9467,-7.7349
435473,-314.50,-174.50,21.6980,-2.3254
439379,-252.50,-192.50,-2.8918,3.3842
443285,-0.50,-111.50,-9.5393,9.4814
447191,125.50,-70.50,14.3105,17.4044
451097,-63.50,-96.50,40.1379,21.3095
455003,-271.50,-187.50,38.8501,15.6218
458909,-271.50,-197.50,18.4074,5.2236
462815,-80.50,-124.50,-3.1871,4.0275
466721,50.50,-92.50,-16.9524,10.4882
470627,-88.50,-104.50,-21.1135,10.6143
474533,-317.50,-138.50,-26.5205,12.2857
478439,-350.50,-175.50,-40.6085,23.3812
482345,-110.50,-153.50,-49.1024,27.8453
486251,79.50,-116.50,-32.0026,15.1462
490157,-47.50,-130.50,-4.1007,-5.0257
494063,-303.50,-256.50,-1.0649,-29.6097
497969,-372.50,-307.50,-26.1316,-62.3804
501875,-144.50,-222.50,-46.5154,-81.1649
505781,29.50,-156.50,-41.1609,-69.8150
509687,-63.50,-142.50,-29.6985,-48.3094
513593,-300.50,-221.50,-33.5026,-36.5808
517499,-406.50,-284.50,-50.2456,-40.1678
521405,-218.50,-228.50,-66.0178,-48.2410
525311,16.50,-148.50,-61.5434,-44.1081
529217,-15.50,-148.50,-36.7849,-33.5191
533123,-294.50,-223.50,-23.5688,-32.3337
537029,-410.50,-276.50,-39.3179,-39.8118
540935,-225.50,-244.50,-54.8834,-44.2880
544841,35.50,-177.50,-39.8377,-42.3244
548747,15.50,-112.50,-7.6317,-32.1397
552653,-221.50,-161.50,7.8971,-11.4601
556559,-382.50,-216.50,-1.6750,8.2557
560465,-258.50,-212.50,-19.5403,16.0578
564371,-4.50,-143.50,-25.4094,13.8227
568277,62.50,-82.50,-8.2194,13.9771
572183,-160.50,-143.50,18.1501,21.6616
576089,-336.50,-202.50,29.3670,27.2401
579995,-229.50,-209.50,27.1821,27.2214
583901,19.50,-165.50,29.3871,20.2410
587807,92.50,-111.50,40.2388,9.2223
591713,-142.50,-152.50,44.5703,4.5262
595619,-349.50,-225.50,29.5776,5.0383
599525,-296.50,-256.50,7.0615,1.2390
603431,-73.50,-175.50,-9.2649,-5.5401
607337,35.50,-127.50,-16.2298,-6.1755
611243,-150.50,-147.50,-16.0180,-1.2650
615149,-366.50,-225.50,-17.3740,3.2062
619055,-333.50,-239.50,-20.8085,5.1351
622961,-65.50,-157.50,-14.8637,10.2935
626867,71.50,-79.50,4.3032,24.9969
630773,-80.50,-97.50,22.2481,42.5317
634679,-303.50,-176.50,28.3583,51.3799
638585,-328.50,-190.50,24.9539,52.9523
642491,-62.50,-130.50,23.4258,57.0708
646397,87.50,-108.50,33.6946,56.7295
650303,-47.50,-106.50,41.9383,44.5763
654209,-312.50,-142.50,32.8742,40.4965
658115,-345.50,-164.50,15.3902,56.5511
662021,-124.50,-168.50,7.8074,68.7354
665927,63.50,-166.50,13.6737,48.0089
669833,-37.50,-164.50,20.3425,5.5343
673739,-302.50,-228.50,15.7281,-23.0708
677645,-356.50,-257.50,5.7000,-26.7659
681551,-137.50,-212.50,9.0639,-15.4199
685457,29.50,23.50,19.4933,26.5161
689363,-13.50,-90.50,19.0374,84.3809
693269,-286.50,-207.50,9.7533,84.2592
697175,-376.50,-225.50,-0.5348,38.7090
701081,-191.50,-208.50,-1.0840,13.9985
704987,-0.50,-148.50,4.0067,9.3794
708893,-29.50,-117.50,-1.1255,8.4844
712799,-287.50,-178.50,-15.3789,12.0376
716705,-419.50,-236.50,-29.3645,16.7172
720611,-273.50,-232.50,-35.2752,15.8124
724517,-12.50,-152.50,-28.7608,10.1329
728423,16.50,-90.50,-11.0011,12.8911
732329,-228.50,-166.50,4.4643,24.7020
736235,-370.50,-241.50,9.3903,27.2771
740141,-252.50,-242.50,14.0196,17.5873
744047,-0.50,-170.50,22.3314,6.8288
747953,61.50,-123.50,32.1172,2.8799
751859,-169.50,-170.50,38.3479,5.8213
755765,-380.50,-221.50,31.4713,12.7550
759671,-284.50,-230.50,18.4850,21.1460
763577,-15.50,-161.50,18.0668,25.1828
767483,59.50,-108.50,29.1385,25.4144
771389,-142.50,-154.50,34.3316,24.9417
775295,-336.50,-202.50,32.7434,26.4980
779201,-306.50,-232.50,32.0155,31.1715
783107,-57.50,-171.50,29.7627,31.2460
787013,65.50,-121.50,28.3291,25.7327
790919,-152.50,-179.50,22.4038,15.4649
794825,-368.50,-239.50,5.7234,2.1592
798731,-352.50,-252.50,-5.4648,-1.8661
802637,-92.50,-172.50,-0.7022,8.0116
806543,79.50,-125.50,16.5840,21.0174
810449,-58.50,-132.50,37.2157,26.9999
814355,-298.50,-197.50,49.4774,30.0932
818261,-353.50,-240.50,47.1670,32.8246
822167,-106.50,-180.50,36.6491,32.4385
826073,71.50,-122.50,33.4840,31.3533
829979,-58.50,-138.50,34.1467,28.3085
833885,-303.50,-190.50,28.5609,25.7887
837791,-368.50,-239.50,22.3822,28.3331
841697,-144.50,-178.50,22.0790,33.4102
845603,67.50,-128.50,29.4077,36.9597
849509,16.50,-111.50,43.2567,36.7242
853415,-212.50,-144.50,61.8518,42.7234
857321,-335.50,-207.50,75.0988,56.7215
861227,-186.50,-216.50,66.6048,56.4291
865133,48.50,-153.50,44.6766,35.6463
869039,35.50,-102.50,36.5129,21.0432
872945,-280.50,-150.50,34.3750,29.9024
876851,-415.50,-207.50,14.6657,47.0699
880757,-229.50,-212.50,-3.3986,51.7803
884663,32.50,-136.50,3.8806,43.1693
888569,53.50,-95.50,27.1452,37.4624
892475,-192.50,-152.50,46.8531,40.4440
896381,-348.50,-207.50,54.1958,44.5738
900287,-234.50,-210.50,52.5657,45.6524
904193,28.50,-129.50,48.4424,44.7123
908099,96.50,-100.50,52.6675,44.5982
912005,-152.50,-135.50,62.3859,45.1010
915911,-335.50,-208.50,63.7545,45.4499
919817,-244.50,-217.50,60.1032,43.4915
923723,18.50,-164.50,59.0569,36.8162
927629,109.50,-81.50,62.9737,34.3162
931535,-82.50,-111.50,72.2481,44.9184
935441,-303.50,-198.50,80.7051,55.4085
939347,-259.50,-208.50,80.2775,54.1724
943253,-8.50,-146.50,71.6106,49.6282
947159,87.50,-112.50,60.2556,44.6181
951065,-105.50,-111.50,46.5730,39.9418
954971,-319.50,-223.50,36.3519,36.3112
958877,-288.50,-270.50,38.9019,22.1557
962783,-41.50,-189.50,48.7533,5.4641
966689,103.50,-134.50,55.0439,3.2383
970595,-33.50,-142.50,58.0901,8.4630
974501,-269.50,-204.50,63.4600,14.1634
978407,-303.50,-237.50,67.2408,20.7855
982313,-86.50,-161.50,60.5082,30.0428
986219,71.50,-106.50,44.5880,40.9526
990125,-46.50,-124.50,28.7885,42.7559
994031,-300.50,-192.50,19.7995,34.6923
997937,-369.50,-237.50,14.6352,27.6970
1001843,-127.50,-159.50,12.7603,31.2468
1005749,53.50,78.50,16.1599,73.7602
1009655,-49.50,-46.50,13.3358,134.6594
1013561,-271.50,-144.50,6.5025,137.1965
1017467,-366.50,-265.50,9.5766,83.0433
1021373,-158.50,-249.50,18.2395,22.1779
1025279,55.50,-180.50,25.0108,-19.7546
1029185,-8.50,-142.50,24.5716,-32.9374
1033091,-271.50,-193.50,14.2245,-22.2124
1036997,-397.50,-241.50,1.0664,-0.8279
1040903,-209.50,-210.50,-4.0368,17.7899
1044809,55.50,-156.50,6.5779,23.1980
1048715,42.50,-121.50,25.8473,15.2346
1052621,-221.50,-159.50,34.6002,11.3451
1056527,-374.50,-204.50,28.1772,23.5459
1060433,-239.50,-194.50,18.7306,41.9592
1064339,17.50,-100.50,14.4536,54.5409
1068245,65.50,-52.50,19.2362,63.3942
1072151,-180.50,-127.50,28.4162,66.8960
1076057,-367.50,-169.50,30.1493,65.3687
1079963,-256.50,-221.50,25.8789,60.8616
1083869,19.50,-165.50,26.7943,42.5022
1087775,82.50,-84.50,34.6862,23.5078
1091681,-143.50,-118.50,38.9397,25.6760
1095587,-329.50,-177.50,38.4648,41.1376
1099493,-271.50,-206.50,39.9420,52.8827
1103399,-25.50,-139.50,37.4671,52.6010
1107305,87.50,-65.50,31.3481,48.8040
1111211,-106.50,-95.50,29.7458,51.0621
1115117,-303.50,-140.50,35.5503,60.1818
1119023,-275.50,-168.50,47.0027,74.0500
1122929,-61.50,-143.50,48.1156,77.0664
1126835,34.50,-101.50,26.2415,58.7654
1130741,-116.50,-89.50,-2.8951,38.9686
1134647,-330.50,-147.50,-12.6456,40.1352
1138553,-361.50,-204.50,-6.1678,51.0665
1142459,-112.50,-148.50,-3.9095,52.5972
1146365,48.50,-98.50,-5.2626,45.7025
1150271,-79.50,-84.50,-4.8555,38.8120
1154177,-344.50,-159.50,-6.9075,38.2147
1158083,-380.50,-272.50,-12.5052,29.3769
1161989,-138.50,-246.50,-13.1432,-0.9356
1165895,63.50,-149.50,-3.1548,-27.3907
1169801,-16.50,-138.50,12.2248,-29.4144
1173707,-267.50,-216.50,26.0606,-22.1052
1177613,-335.50,-244.50,35.1691,-15.9955
1181519,-120.50,-196.50,42.1553,-3.4129
1185425,82.50,-128.50,47.2479,11.4008
1189331,48.50,-88.50,50.9392,20.1538
1193237,-218.50,-133.50,55.8782,29.4561
1197143,-326.50,-174.50,57.4196,44.6641
1201049,-149.50,-148.50,55.2498,61.3546
1204955,64.50,-97.50,50.4807,68.2225
1208861,60.50,-63.50,44.9338,61.4243
1212767,-187.50,-139.50,45.3269,49.1369
1216673,-353.50,-174.50,44.9764,41.8200
1220579,-220.50,-153.50,34.0819,48.6822
1224485,45.50,-58.50,22.6720,66.1918
1228391,77.50,25.50,25.5476,90.2499
1232297,-175.50,-42.50,34.6123,113.4998
1236203,-326.50,-114.50,38.7117,119.8943
1240109,-201.50,-154.50,44.8130,107.0135
1244015,60.50,-157.50,54.9983,72.6266
1247921,95.50,-114.50,59.8004,24.3485
1251827,-130.50,-154.50,53.4020,-9.7610
1255733,-319.50,-193.50,44.1735,-14.9388
1259639,-255.50,-200.50,39.0365,1.1743
1263545,-22.50,-143.50,29.6053,18.0025
1267451,66.50,-128.50,14.7960,16.2827
1271357,-104.50,-145.50,8.8362,-1.2408
1275267,-350.50,-200.50,12.1454,-11.7923
1279173,-314.50,-229.50,8.8871,-8.2019
1283079,-47.50,-165.50,1.6406,-1.8869
1286985,77.50,-116.50,2.2379,1.0481
1290891,-112.50,-143.50,3.2549,-2.6737
1294797,-356.50,-207.50,-4.5930,-10.1124
1298703,-346.50,-244.50,-14.3763,-14.3500
1302609,-79.50,-184.50,-14.3555,-13.8702
1306515,64.50,-136.50,-6.0470,-12.1593
1310421,-56.50,-116.50,1.4145,-10.2894
1314327,-303.50,-177.50,8.1205,-2.7961
1318233,-351.50,-197.50,10.8521,10.3710
1322139,-105.50,-98.50,7.7661,33.1338
1326045,69.50,47.50,6.1757,77.9573
1329951,-50.50,-62.50,3.0828,113.3146
1333857,-300.50,-155.50,-3.6242,92.8891
1337763,-347.50,-202.50,-3.8387,46.1143
1341669,-128.50,-145.50,6.0696,23.4496
1345575,79.50,-64.50,17.1440,28.4421
1349481,39.50,-25.50,27.3077,46.3470
1353387,-211.50,-97.50,41.2547,64.4105
1357293,-307.50,-132.50,53.8093,75.7263
1361199,-116.50,-114.50,60.2925,80.8868
1365105,111.50,-51.50,62.7022,78.0453
1369011,65.50,-15.50,60.6331,71.3007
1372917,-188.50,-42.50,53.7312,75.6911
1376823,-324.50,-85.50,46.4113,94.6578
1380729,-152.50,-111.50,44.3475,107.0761
1384635,81.50,-109.50,46.6280,85.8127
1388541,81.50,-106.50,46.4425,35.8174
1392447,-175.50,-175.50,40.1663,-11.6219
1396353,-306.50,-213.50,35.9027,-34.0411
1400259,-143.50,-169.50,48.2666,-24.5789
1404165,129.50,-80.50,75.0990,5.8503
1408071,150.50,-70.50,95.5195,29.1323
1411977,-120.50,-121.50,90.1203,27.9057
1415883,-316.50,-175.50,63.5124,16.2821
1419789,-232.50,-190.50,38.0201,9.9451
1423695,16.50,-118.50,21.9384,7.3173
1427601,85.50,-70.50,11.8006,7.8690
1431507,-122.50,-126.50,6.1308,7.3625
1435413,-313.50,-175.50,8.0008,3.3533
1439319,-239.50,-189.50,19.5213,3.3065
1443225,-15.50,-129.50,27.0154,5.9739
1447131,139.50,-64.50,26.7798,8.8165
1451037,-59.50,-82.50,31.6315,15.2244
1454943,-288.50,-148.50,36.4357,23.0003
1458849,-278.50,-184.50,33.3766,25.2160
1462755,-36.50,-116.50,24.4907,22.1412
1466661,123.50,-56.50,17.6166,21.8470
1470567,-22.50,-52.50,20.8005,27.8562
1474473,-271.50,-127.50,28.2233,36.3222
1478379,-293.50,-174.50,30.1433,37.7048
1482285,-64.50,-162.50,24.7125,24.1939
1486191,87.50,-106.50,13.2663,0.7021
1490097,-29.50,-84.50,-0.1461,-13.5395
