ts_us,raw_ch0,raw_ch1,filt_ch0,filt_ch1
1884605,-42.50,-100.50,-6.2930,-15.7966
1888511,-34.50,-98.50,-23.3654,-57.8038
1892417,-33.50,-100.50,-35.3376,-92.8521
1896323,-41.50,-108.50,-37.9324,-104.5697
1900229,-47.50,-128.50,-40.2143,-109.6447
1904135,-62.50,-124.50,-45.8556,-115.3438
1908041,-77.50,-110.50,-55.5940,-114.1012
1911947,-88.50,-104.50,-68.1254,-104.1944
1915853,-120.50,-133.50,-84.0830,-99.5606
1919759,-140.50,-136.50,-105.3322,-107.9332
1923665,-148.50,-100.50,-125.2036,-111.2942
1927571,-143.50,-122.50,-134.5828,-101.1650
1931477,-154.50,-143.50,-135.3900,-98.4828
1935383,-130.50,-143.50,-131.5918,-109.1621
1939289,-148.50,-146.50,-124.8446,-118.4846
1943195,-164.50,-160.50,-124.5613,-122.9172
1947101,-175.50,-177.50,-133.5876,-129.2747
1951007,-177.50,-177.50,-143.4448,-137.8313
1954913,-178.50,-196.50,-148.6417,-145.5876
1958819,-175.50,-216.50,-148.4472,-156.1359
1962725,-179.50,-229.50,-144.8207,-170.0694
1966631,-194.50,-233.50,-143.2373,-181.0406
1970537,-205.50,-240.50,-148.2125,-186.2193
1974443,-196.50,-248.50,-154.6408,-188.9971
1978349,-194.50,-207.50,-154.6800,-184.3727
1982255,-177.50,-177.50,-146.5669,-161.7061
1986161,-170.50,-168.50,-132.1819,-129.8004
1990067,-146.50,-158.50,-114.3280,-105.4455
1993973,-116.50,-143.50,-92.3099,-89.7713
1997879,-133.50,-194.50,-72.7136,-86.8957
2001785,-156.50,-220.50,-70.2148,-106.2020
2005691,-143.50,-220.50,-78.9991,-132.7553
2009597,-143.50,-209.50,-81.8000,-143.8255
2013503,-113.50,-185.50,-74.0482,-135.1162
2017409,-120.50,-175.50,-60.8157,-114.9833
2021315,-111.50,-206.50,-50.0249,-101.4036
2025221,-101.50,-242.50,-40.8603,-110.0665
2029127,-104.50,-250.50,-31.9579,-133.7999
2033033,-102.50,-250.50,-28.3006,-152.5006
2036939,-99.50,-257.50,-28.5052,-159.4753
2040845,-79.50,-202.50,-24.2963,-150.4534
2044751,-69.50,-177.50,-11.2390,-119.4366
2048657,-73.50,-162.50,2.4833,-81.7157
2052563,-73.50,-146.50,7.4407,-54.7810
2056469,-63.50,-173.50,7.3200,-44.4731
2060375,-54.50,-195.50,10.7943,-53.6055
2064281,-63.50,-189.50,16.7980,-69.6476
2068187,-56.50,-169.50,20.1605,-73.1475
2072093,-52.50,-143.50,22.3771,-59.2689
2075999,-74.50,-145.50,20.8678,-39.1503
2079905,-65.50,-136.50,13.9547,-24.5198
2083811,-82.50,-135.50,7.7742,-15.6352
2087717,-94.50,-158.50,0.9325,-14.5445
2091623,-100.50,-143.50,-8.7892,-21.1449
2095529,-88.50,-145.50,-14.9751,-24.7235
2099435,-98.50,-173.50,-15.2067,-27.2351
2103341,-90.50,-170.50,-13.2193,-34.5979
2107247,-75.50,-160.50,-7.1073,-38.0455
2111153,-104.50,-175.50,-1.8543,-36.9016
2115059,-111.50,-185.50,-8.7152,-41.0784
2118965,-112.50,-157.50,-20.9829,-43.7517
2122871,-106.50,-148.50,-26.1234,-32.7798
2126777,-93.50,-136.50,-21.3431,-14.8987
2130683,-101.50,-143.50,-12.8521,-3.0924
2134589,-98.50,-144.50,-8.7673,-1.2881
2138495,-111.50,-152.50,-10.4288,-4.9171
2142401,-136.50,-153.50,-19.5773,-8.6623
2146307,-141.50,-159.50,-34.6773,-11.4378
2150213,-133.50,-160.50,-44.6751,-14.3876
2154119,-146.50,-175.50,-46.7376,-19.2746
2158025,-149.50,-188.50,-48.5278,-27.6068
2161931,-158.50,-200.50,-52.3689,-37.9648
2165837,-176.50,-229.50,-58.9544,-51.1771
2169743,-207.50,-224.50,-73.1153,-66.3063
2173649,-207.50,-234.50,-91.8185,-76.1143
2177555,-206.50,-224.50,-102.9557,-77.7562
2181461,-193.50,-164.50,-101.1048,-62.7732
2185367,-166.50,-156.50,-86.9614,-29.6366
2189273,-241.50,-230.50,-79.0908,-13.6554
2193179,-276.50,-254.50,-101.9810,-38.0867
2197085,-248.50,-264.50,-133.5166,-74.8402
2200991,-241.50,-241.50,-140.0940,-91.9762
2204897,-252.50,-240.50,-131.2183,-87.1956
2208803,-265.50,-244.50,-127.4613,-76.4920
2212709,-264.50,-248.50,-129.3272,-70.5299
2216615,-264.50,-272.50,-129.7601,-72.1244
2220521,-256.50,-289.50,-127.3445,-84.1542
2224427,-257.50,-265.50,-123.5043,-96.2000
2228333,-254.50,-245.50,-118.5537,-91.4950
2232239,-244.50,-271.50,-110.2679,-77.7327
2236145,-257.50,-278.50,-101.8752,-73.8992
2240051,-264.50,-271.50,-102.0033,-77.4012
2243957,-248.50,-254.50,-105.7933,-75.9489
2247863,-234.50,-260.50,-100.0751,-69.3790
2251769,-229.50,-243.50,-84.9748,-61.1002
2255675,-220.50,-260.50,-69.4726,-52.3875
2259581,-207.50,-260.50,-57.0215,-49.0193
2263487,-190.50,-240.50,-45.1231,-48.2004
2267393,-191.50,-209.50,-33.3818,-38.0158
2271299,-191.50,-221.50,-25.0814,-20.8194
2275205,-198.50,-222.50,-21.8721,-9.5412
