ts_us,raw_ch0,raw_ch1,filt_ch0,filt_ch1
111272,-111.50,-218.50,-17.5991,-35.1316
115178,-50.50,-270.50,-54.4813,-134.7163
119084,-224.50,-180.50,-97.1615,-217.8964
122990,-481.50,-180.50,-201.3556,-220.8389
126896,-512.50,-260.50,-364.5664,-203.6298
130802,-218.50,-303.50,-431.4531,-223.0842
134708,-38.50,-276.50,-310.8906,-252.4543
138614,-190.50,-209.50,-148.2575,-247.2126
142520,-461.50,-205.50,-143.1783,-213.0640
146426,-492.50,-241.50,-281.5135,-190.9605
150332,-239.50,-284.50,-366.5554,-199.0842
154238,-40.50,-268.50,-282.5718,-216.4375
158144,-137.50,-201.50,-136.7821,-211.2048
162050,-410.50,-201.50,-108.8056,-183.9384
165956,-481.50,-245.50,-218.3753,-169.3787
169862,-239.50,-262.50,-303.6261,-178.5577
173768,-18.50,-238.50,-240.2878,-185.1941
177674,-94.50,-169.50,-107.2173,-166.8717
181580,-366.50,-177.50,-71.4633,-135.5140
185486,-484.50,-181.50,-168.6453,-118.2264
189392,-281.50,-207.50,-263.9064,-116.4364
193298,-28.50,-182.50,-228.7957,-113.7944
197204,-56.50,-111.50,-107.3501,-94.1079
201110,-319.50,-79.50,-52.5255,-57.8546
205016,-454.50,-120.50,-120.9475,-32.3660
208922,-273.50,-189.50,-203.6809,-40.6594
212828,-0.50,-217.50,-176.5015,-73.8288
216734,7.50,-160.50,-63.6361,-98.0087
220640,-261.50,-127.50,-3.9375,-92.3332
224546,-445.50,-125.50,-66.7112,-70.7529
228452,-301.50,-173.50,-161.1334,-56.9417
232358,-27.50,-176.50,-160.7362,-57.0727
236264,30.50,-128.50,-66.9668,-55.7389
240170,-221.50,-68.50,-0.5973,-37.9832
244076,-407.50,-92.50,-38.6537,-14.6802
247982,-316.50,-160.50,-117.1300,-11.9290
251888,-45.50,-191.50,-127.6959,-33.3816
255794,43.50,-148.50,-55.7865,-52.9194
259700,-186.50,-108.50,4.4072,-51.5255
263606,-409.50,-125.50,-25.7312,-40.8594
267512,-341.50,-189.50,-100.8571,-43.0054
271418,-62.50,-188.50,-116.9614,-55.3634
275324,75.50,-146.50,-47.5054,-55.5682
